stock name,volume(ul),labware location,well location
MeCN,5000,7,A1
H2O,5000,7,A2
well_1,500,1,A1
well_2,500,1,B1
well_3,500,1,C1
well_4,500,1,D1
well_5,500,1,E1
well_6,500,1,A2
well_7,500,1,B2
well_8,500,1,C2
well_9,500,1,D2
well_10,500,1,E2
well_11,500,1,A3
well_12,500,1,B3
well_13,500,1,C3
well_14,500,1,D3
well_15,500,1,E3
well_16,500,1,A4
well_17,500,1,B4
well_18,500,1,C4
well_19,500,1,D4
well_20,500,1,E4
well_21,500,1,A5
well_22,500,1,B5
well_23,500,1,C5
well_24,500,1,D5
well_25,500,1,E5
well_26,500,1,A6
well_27,500,1,B6
well_28,500,1,C6
well_29,500,1,D6
well_30,500,1,E6
well_31,500,1,A7
well_32,500,1,B7
well_33,500,1,C7
well_34,500,1,D7
well_35,500,1,E7
well_36,500,1,A8
well_37,500,1,B8
well_38,500,1,C8
well_39,500,1,D8
well_40,500,1,E8
