receiving labware location,receiving well location,stock labware location 1,stock well location 1,volume 1,priority,mix,,
5,A1,7,A1,980,1,,980,-17020
5,B1,7,A1,980,1,,1960,-16040
5,C1,7,A1,980,1,,2940,-15060
5,D1,7,A1,980,1,,3920,-14080
5,E1,7,A1,980,1,,4900,-13100
5,A2,7,A1,980,1,,5880,-12120
5,B2,7,A1,980,1,,6860,-11140
5,C2,7,A1,980,1,,7840,-10160
5,D2,7,A1,980,1,,8820,-9180
5,E2,7,A1,980,1,,9800,-8200
5,A3,7,A1,980,1,,10780,-7220
5,B3,7,A1,980,1,,11760,-6240
5,C3,7,A1,980,1,,12740,-5260
5,D3,7,A1,980,1,,13720,-4280
5,E3,7,A1,980,1,,14700,-3300
5,A4,7,A1,980,1,,15680,-2320
5,B4,7,A2,980,1,,980,-17020
5,C4,7,A2,980,1,,1960,-16040
5,D4,7,A2,980,1,,2940,-15060
5,E4,7,A2,980,1,,3920,-14080
5,A5,7,A2,980,1,,4900,-13100
5,B5,7,A2,980,1,,5880,-12120
5,C5,7,A2,980,1,,6860,-11140
5,D5,7,A2,980,1,,7840,-10160
5,E5,7,A2,980,1,,8820,-9180
5,A6,7,A2,980,1,,9800,-8200
5,B6,7,A2,980,1,,10780,-7220
5,C6,7,A2,980,1,,11760,-6240
5,D6,7,A2,980,1,,12740,-5260
5,E6,7,A2,980,1,,13720,-4280
5,A7,7,A2,980,1,,14700,-3300
5,B7,7,A2,980,1,,15680,-2320
5,C7,7,A2,980,1,,16660,-1340
5,D7,7,A2,980,1,,17640,-360
5,E7,7,A3,980,1,,980,-17020
5,A8,7,A3,980,1,,1960,-16040
5,B8,7,A3,980,1,,2940,-15060
5,C8,7,A3,980,1,,3920,-14080
5,D8,7,A3,980,1,,4900,-13100
5,E8,7,A3,980,1,,5880,-12120
8,A1,7,A3,980,1,,6860,-11140
8,B1,7,A3,980,1,,7840,-10160
8,C1,7,A3,980,1,,8820,-9180
8,D1,7,A3,980,1,,9800,-8200
8,E1,7,A3,980,1,,10780,-7220
8,A2,7,A3,980,1,,11760,-6240
8,B2,7,A3,980,1,,12740,-5260
8,C2,7,A3,980,1,,13720,-4280
8,D2,7,A3,980,1,,14700,-3300
8,E2,7,A3,980,1,,15680,-2320
8,A3,7,A3,980,1,,16660,-1340
8,B3,7,A3,980,1,,17640,-360
8,C3,7,A4,980,1,,980,-17020
8,D3,7,A4,980,1,,1960,-16040
8,E3,7,A4,980,1,,2940,-15060
8,A4,7,A4,980,1,,3920,-14080
8,B4,7,A4,980,1,,4900,-13100
8,C4,7,A4,980,1,,5880,-12120
8,D4,7,A4,980,1,,6860,-11140
8,E4,7,A4,980,1,,7840,-10160
8,A5,7,A4,980,1,,8820,-9180
8,B5,7,A4,980,1,,9800,-8200
8,C5,7,A4,980,1,,10780,-7220
8,D5,7,A4,980,1,,11760,-6240
8,E5,7,A4,980,1,,12740,-5260
8,A6,7,A4,980,1,,13720,-4280
8,B6,7,A4,980,1,,14700,-3300
8,C6,7,A4,980,1,,15680,-2320
8,D6,7,A4,980,1,,16660,-1340
8,E6,7,A4,980,1,,17640,-360
8,A7,7,A5,980,1,,980,-17020
8,B7,7,A5,980,1,,1960,-16040
8,C7,7,A5,980,1,,2940,-15060
8,D7,7,A5,980,1,,3920,-14080
8,E7,7,A5,980,1,,4900,-13100
8,A8,7,A5,980,1,,5880,-12120
8,B8,7,A5,980,1,,6860,-11140
8,C8,7,A5,980,1,,7840,-10160
8,D8,7,A5,980,1,,8820,-9180
8,E8,7,A5,980,1,,9800,-8200
2,A1,7,A5,200,1,,10000,-8000
2,B1,7,A5,200,1,,10200,-7800
2,C1,7,A5,200,1,,10400,-7600
2,D1,7,A5,200,1,,10600,-7400
2,E1,7,A5,200,1,,10800,-7200
2,A2,7,A5,200,1,,11000,-7000
2,B2,7,A5,200,1,,11200,-6800
2,C2,7,A5,200,1,,11400,-6600
2,D2,7,A5,200,1,,11600,-6400
2,E2,7,A5,200,1,,11800,-6200
2,A3,7,A5,200,1,,12000,-6000
2,B3,7,A5,200,1,,12200,-5800
2,C3,7,A5,200,1,,12400,-5600
2,D3,7,A5,200,1,,12600,-5400
2,E3,7,A5,200,1,,12800,-5200
2,A4,7,A5,200,1,,13000,-5000
2,B4,7,A5,200,1,,13200,-4800
2,C4,7,A5,200,1,,13400,-4600
2,D4,7,A5,200,1,,13600,-4400
2,E4,7,A5,200,1,,13800,-4200
2,A5,7,A5,200,1,,14000,-4000
2,B5,7,A5,200,1,,14200,-3800
2,C5,7,A5,200,1,,14400,-3600
2,D5,7,A5,200,1,,14600,-3400
2,E5,7,A5,200,1,,14800,-3200
2,A6,7,A5,200,1,,15000,-3000
2,B6,7,A5,200,1,,15200,-2800
2,C6,7,A5,200,1,,15400,-2600
2,D6,7,A5,200,1,,15600,-2400
2,E6,7,A5,200,1,,15800,-2200
2,A7,7,A5,200,1,,16000,-2000
2,B7,7,A5,200,1,,16200,-1800
2,C7,7,A5,200,1,,16400,-1600
2,D7,7,A5,200,1,,16600,-1400
2,E7,7,A5,200,1,,16800,-1200
2,A8,7,A5,200,1,,17000,-1000
2,B8,7,A5,200,1,,17200,-800
2,C8,7,A5,200,1,,17400,-600
2,D8,7,A5,200,1,,17600,-400
2,E8,7,A5,200,1,,17800,-200
2,A1,7,B1,250,2,,250,-17750
2,B1,7,B1,250,2,,500,
2,C1,7,B1,250,2,,750,
2,D1,7,B1,250,2,,1000,
2,E1,7,B1,250,2,,1250,
2,A2,7,B1,250,2,,1500,
2,B2,7,B1,250,2,,1750,
2,C2,7,B1,250,2,,2000,
2,D2,7,B1,250,2,,2250,
2,E2,7,B1,250,2,,2500,
2,A3,7,B1,250,2,,2750,
2,B3,7,B1,250,2,,3000,
2,C3,7,B1,250,2,,3250,
2,D3,7,B1,250,2,,3500,
2,E3,7,B1,250,2,,3750,
2,A4,7,B1,250,2,,4000,
2,B4,7,B1,250,2,,4250,
2,C4,7,B1,250,2,,4500,
2,D4,7,B1,250,2,,4750,
2,E4,7,B1,250,2,,5000,
2,A5,7,B1,250,2,,5250,
2,B5,7,B1,250,2,,5500,
2,C5,7,B1,250,2,,5750,
2,D5,7,B1,250,2,,6000,
2,E5,7,B1,250,2,,6250,
2,A6,7,B1,250,2,,6500,
2,B6,7,B1,250,2,,6750,
2,C6,7,B1,250,2,,7000,
2,D6,7,B1,250,2,,7250,
2,E6,7,B1,250,2,,7500,
2,A7,7,B1,250,2,,7750,
2,B7,7,B1,250,2,,8000,
2,C7,7,B1,250,2,,8250,
2,D7,7,B1,250,2,,8500,
2,E7,7,B1,250,2,,8750,
2,A8,7,B1,250,2,,9000,
2,B8,7,B1,250,2,,9250,
2,C8,7,B1,250,2,,9500,
2,D8,7,B1,250,2,,9750,
2,E8,7,B1,250,2,,10000,
