receiving labware location,receiving well location,stock labware location 1,stock well location 1,volume 1,priority,mix
4,A1,8,A1,980,1,
4,B1,8,A1,980,1,
4,C1,8,A1,980,1,
4,D1,8,A1,980,1,
4,E1,8,A1,980,1,
4,A2,8,A1,980,1,
4,B2,8,A1,980,1,
4,C2,8,A1,980,1,
4,D2,8,A1,980,1,
4,E2,8,A1,980,1,
4,A3,8,A1,980,1,
4,B3,8,A1,980,1,
4,C3,8,A1,980,1,
4,D3,8,A1,980,1,
4,E3,8,A1,980,1,
4,A4,8,A1,980,1,
4,B4,8,A2,980,1,
4,C4,8,A2,980,1,
4,D4,8,A2,980,1,
4,E4,8,A2,980,1,
4,A5,8,A2,980,1,
4,B5,8,A2,980,1,
4,C5,8,A2,980,1,
4,D5,8,A2,980,1,
4,E5,8,A2,980,1,
4,A6,8,A2,980,1,
4,B6,8,A2,980,1,
4,C6,8,A2,980,1,
4,D6,8,A2,980,1,
4,E6,8,A2,980,1,
4,A7,8,A2,980,1,
4,B7,8,A2,980,1,
4,C7,8,A2,980,1,
4,D7,8,A2,980,1,
4,E7,8,A3,980,1,
4,A8,8,A3,980,1,
4,B8,8,A3,980,1,
4,C8,8,A3,980,1,
4,D8,8,A3,980,1,
4,E8,8,A3,980,1,
5,A1,8,A3,980,1,
5,B1,8,A3,980,1,
5,C1,8,A3,980,1,
5,D1,8,A3,980,1,
5,E1,8,A3,980,1,
5,A2,8,A3,980,1,
5,B2,8,A3,980,1,
5,C2,8,A3,980,1,
5,D2,8,A3,980,1,
5,E2,8,A3,980,1,
5,A3,8,A3,980,1,
5,B3,8,A3,980,1,
5,C3,8,A4,980,1,
5,D3,8,A4,980,1,
5,E3,8,A4,980,1,
5,A4,8,A4,980,1,
5,B4,8,A4,980,1,
5,C4,8,A4,980,1,
5,D4,8,A4,980,1,
5,E4,8,A4,980,1,
5,A5,8,A4,980,1,
5,B5,8,A4,980,1,
5,C5,8,A4,980,1,
5,D5,8,A4,980,1,
5,E5,8,A4,980,1,
5,A6,8,A4,980,1,
5,B6,8,A4,980,1,
5,C6,8,A4,980,1,
5,D6,8,A4,980,1,
5,E6,8,A4,980,1,
5,A7,8,B1,980,1,
5,B7,8,B1,980,1,
5,C7,8,B1,980,1,
5,D7,8,B1,980,1,
5,E7,8,B1,980,1,
5,A8,8,B1,980,1,
